gene;gene_id
ENSG00000280676;ENSG00000280676
ENSG00000264679;ENSG00000264679
ENSG00000265017;ENSG00000265017
ENSG00000264142;ENSG00000264142
ENSG00000249428;ENSG00000249428
ENSG00000265636;ENSG00000265636
ENSG00000265638;ENSG00000265638
ENSG00000211482;ENSG00000211482
ENSG00000281727;ENSG00000281727
ENSG00000221720;ENSG00000221720
ENSG00000277394;ENSG00000277394
ENSG00000281373;ENSG00000281373
ENSG00000276889;ENSG00000276889
ENSG00000221258;ENSG00000221258
ENSG00000280919;ENSG00000280919
ENSG00000212030;ENSG00000212030
ENSG00000281554;ENSG00000281554
ENSG00000221118;ENSG00000221118
ENSG00000207865;ENSG00000207865
ENSG00000265856;ENSG00000265856
ENSG00000228214;ENSG00000228214
ENSG00000280522;ENSG00000280522
ENSG00000280527;ENSG00000280527
ENSG00000211571;ENSG00000211571
ENSG00000276629;ENSG00000276629
ENSG00000274974;ENSG00000274974
ENSG00000251962;ENSG00000251962
ENSG00000275831;ENSG00000275831
ENSG00000274155;ENSG00000274155
ENSG00000275783;ENSG00000275783
ENSG00000263835;ENSG00000263835
ENSG00000215984;ENSG00000215984
ENSG00000216168;ENSG00000216168
ENSG00000216169;ENSG00000216169
ENSG00000277819;ENSG00000277819
ENSG00000273019;ENSG00000273019
ENSG00000264888;ENSG00000264888
ENSG00000275439;ENSG00000275439
ENSG00000266294;ENSG00000266294
ENSG00000221696;ENSG00000221696
ENSG00000266083;ENSG00000266083
ENSG00000281001;ENSG00000281001
ENSG00000280842;ENSG00000280842
ENSG00000251738;ENSG00000251738
ENSG00000281826;ENSG00000281826
ENSG00000274329;ENSG00000274329
ENSG00000281892;ENSG00000281892
ENSG00000275530;ENSG00000275530
ENSG00000231816;ENSG00000231816
ENSG00000281115;ENSG00000281115
ENSG00000221359;ENSG00000221359
ENSG00000253037;ENSG00000253037
ENSG00000266542;ENSG00000266542
ENSG00000267896;ENSG00000267896
ENSG00000223249;ENSG00000223249
ENSG00000279468;ENSG00000279468
ENSG00000275704;ENSG00000275704
ENSG00000221094;ENSG00000221094
ENSG00000263214;ENSG00000263214
ENSG00000267447;ENSG00000267447
ENSG00000251989;ENSG00000251989
ENSG00000278353;ENSG00000278353
ENSG00000279188;ENSG00000279188
ENSG00000281796;ENSG00000281796
ENSG00000281790;ENSG00000281790
ENSG00000252986;ENSG00000252986
ENSG00000281653;ENSG00000281653
ENSG00000265530;ENSG00000265530
ENSG00000280783;ENSG00000280783
ENSG00000281517;ENSG00000281517
ENSG00000276607;ENSG00000276607
ENSG00000216205;ENSG00000216205
ENSG00000281414;ENSG00000281414
ENSG00000228989;ENSG00000228989
ENSG00000281061;ENSG00000281061
ENSG00000280637;ENSG00000280637
ENSG00000277665;ENSG00000277665
ENSG00000278660;ENSG00000278660
ENSG00000260929;ENSG00000260929
ENSG00000277712;ENSG00000277712
ENSG00000263663;ENSG00000263663
ENSG00000273826;ENSG00000273826
ENSG00000275370;ENSG00000275370
ENSG00000266382;ENSG00000266382
ENSG00000281124;ENSG00000281124
ENSG00000226786;ENSG00000226786
ENSG00000281698;ENSG00000281698
ENSG00000252330;ENSG00000252330
ENSG00000266804;ENSG00000266804
ENSG00000277145;ENSG00000277145
ENSG00000207770;ENSG00000207770
ENSG00000265600;ENSG00000265600
ENSG00000235565;ENSG00000235565
ENSG00000223322;ENSG00000223322
ENSG00000275271;ENSG00000275271
ENSG00000215954;ENSG00000215954
ENSG00000254414;ENSG00000254414
ENSG00000225667;ENSG00000225667
ENSG00000241781;ENSG00000241781
ENSG00000279624;ENSG00000279624
ENSG00000270010;ENSG00000270010
ENSG00000269920;ENSG00000269920
ENSG00000221220;ENSG00000221220
ENSG00000280804;ENSG00000280804
ENSG00000238997;ENSG00000238997
ENSG00000221530;ENSG00000221530
ENSG00000203589;ENSG00000203589
ENSG00000168260;ENSG00000168260
ENSG00000252150;ENSG00000252150
ENSG00000274804;ENSG00000274804
ENSG00000278832;ENSG00000278832
ENSG00000224849;ENSG00000224849
ENSG00000221523;ENSG00000221523
ENSG00000221521;ENSG00000221521
ENSG00000221389;ENSG00000221389
ENSG00000222121;ENSG00000222121
ENSG00000226598;ENSG00000226598
ENSG00000264878;ENSG00000264878
ENSG00000237647;ENSG00000237647
ENSG00000265720;ENSG00000265720
ENSG00000265722;ENSG00000265722
ENSG00000270097;ENSG00000270097
ENSG00000234113;ENSG00000234113
ENSG00000271876;ENSG00000271876
ENSG00000281130;ENSG00000281130
ENSG00000222570;ENSG00000222570
ENSG00000280328;ENSG00000280328
ENSG00000276558;ENSG00000276558
ENSG00000266493;ENSG00000266493
ENSG00000266491;ENSG00000266491
ENSG00000212089;ENSG00000212089
ENSG00000221142;ENSG00000221142
ENSG00000231459;ENSG00000231459
ENSG00000275114;ENSG00000275114
ENSG00000237857;ENSG00000237857
ENSG00000275899;ENSG00000275899
ENSG00000265891;ENSG00000265891
ENSG00000276883;ENSG00000276883
ENSG00000252309;ENSG00000252309
ENSG00000221309;ENSG00000221309
ENSG00000223214;ENSG00000223214
ENSG00000280992;ENSG00000280992
ENSG00000281621;ENSG00000281621
ENSG00000280573;ENSG00000280573
ENSG00000277348;ENSG00000277348
ENSG00000223052;ENSG00000223052
ENSG00000222080;ENSG00000222080
ENSG00000238952;ENSG00000238952
ENSG00000274483;ENSG00000274483
ENSG00000266769;ENSG00000266769
ENSG00000237404;ENSG00000237404
ENSG00000280743;ENSG00000280743
ENSG00000252896;ENSG00000252896
ENSG00000281025;ENSG00000281025
ENSG00000265562;ENSG00000265562
ENSG00000266143;ENSG00000266143
ENSG00000267230;ENSG00000267230
ENSG00000263691;ENSG00000263691
ENSG00000221419;ENSG00000221419
ENSG00000221413;ENSG00000221413
ENSG00000278792;ENSG00000278792
ENSG00000199187;ENSG00000199187
ENSG00000281319;ENSG00000281319
ENSG00000281318;ENSG00000281318
ENSG00000201227;ENSG00000201227
ENSG00000278639;ENSG00000278639
ENSG00000234252;ENSG00000234252
ENSG00000188206;ENSG00000188206
ENSG00000265672;ENSG00000265672
ENSG00000212044;ENSG00000212044
ENSG00000260841;ENSG00000260841
ENSG00000266209;ENSG00000266209
ENSG00000263713;ENSG00000263713
ENSG00000221629;ENSG00000221629
ENSG00000274188;ENSG00000274188
ENSG00000270879;ENSG00000270879
ENSG00000207720;ENSG00000207720
ENSG00000264496;ENSG00000264496
ENSG00000265654;ENSG00000265654
ENSG00000262601;ENSG00000262601
ENSG00000265650;ENSG00000265650
ENSG00000236066;ENSG00000236066
ENSG00000221020;ENSG00000221020
ENSG00000238861;ENSG00000238861
ENSG00000269545;ENSG00000269545
ENSG00000275682;ENSG00000275682
ENSG00000278244;ENSG00000278244
ENSG00000280988;ENSG00000280988
ENSG00000280981;ENSG00000280981
ENSG00000280985;ENSG00000280985
ENSG00000276574;ENSG00000276574
ENSG00000237815;ENSG00000237815
ENSG00000265875;ENSG00000265875
ENSG00000277765;ENSG00000277765
ENSG00000264085;ENSG00000264085
ENSG00000261567;ENSG00000261567
ENSG00000264950;ENSG00000264950
ENSG00000278405;ENSG00000278405
ENSG00000227136;ENSG00000227136
ENSG00000278321;ENSG00000278321
ENSG00000281724;ENSG00000281724
ENSG00000280667;ENSG00000280667
ENSG00000275261;ENSG00000275261
ENSG00000276987;ENSG00000276987
ENSG00000276989;ENSG00000276989
ENSG00000252702;ENSG00000252702
ENSG00000274358;ENSG00000274358
ENSG00000273857;ENSG00000273857
ENSG00000224871;ENSG00000224871
ENSG00000266020;ENSG00000266020
ENSG00000221767;ENSG00000221767
ENSG00000280753;ENSG00000280753
ENSG00000216067;ENSG00000216067
ENSG00000277116;ENSG00000277116
ENSG00000279424;ENSG00000279424
ENSG00000278772;ENSG00000278772
ENSG00000277934;ENSG00000277934
ENSG00000263497;ENSG00000263497
ENSG00000269202;ENSG00000269202
ENSG00000237485;ENSG00000237485
ENSG00000281745;ENSG00000281745
ENSG00000215925;ENSG00000215925
ENSG00000280901;ENSG00000280901
ENSG00000265152;ENSG00000265152
ENSG00000234536;ENSG00000234536
ENSG00000241774;ENSG00000241774
ENSG00000264009;ENSG00000264009
ENSG00000277877;ENSG00000277877
ENSG00000280860;ENSG00000280860
ENSG00000221272;ENSG00000221272
ENSG00000222884;ENSG00000222884
ENSG00000280370;ENSG00000280370
ENSG00000221132;ENSG00000221132
ENSG00000221135;ENSG00000221135
ENSG00000277843;ENSG00000277843
ENSG00000265589;ENSG00000265589
ENSG00000271905;ENSG00000271905
ENSG00000278882;ENSG00000278882
ENSG00000273690;ENSG00000273690
ENSG00000221338;ENSG00000221338
ENSG00000278375;ENSG00000278375
ENSG00000280509;ENSG00000280509
ENSG00000253082;ENSG00000253082
ENSG00000276893;ENSG00000276893
ENSG00000277312;ENSG00000277312
ENSG00000269936;ENSG00000269936
ENSG00000266156;ENSG00000266156
ENSG00000263853;ENSG00000263853
ENSG00000263855;ENSG00000263855
ENSG00000221789;ENSG00000221789
ENSG00000265339;ENSG00000265339
ENSG00000251927;ENSG00000251927
ENSG00000281776;ENSG00000281776
ENSG00000280102;ENSG00000280102
ENSG00000273924;ENSG00000273924
ENSG00000273926;ENSG00000273926
ENSG00000265550;ENSG00000265550
ENSG00000221424;ENSG00000221424
ENSG00000221429;ENSG00000221429
ENSG00000280863;ENSG00000280863
ENSG00000251713;ENSG00000251713
ENSG00000281346;ENSG00000281346
ENSG00000255080;ENSG00000255080
ENSG00000273615;ENSG00000273615
ENSG00000260636;ENSG00000260636
ENSG00000274648;ENSG00000274648
ENSG00000263422;ENSG00000263422
ENSG00000264173;ENSG00000264173
ENSG00000278453;ENSG00000278453
ENSG00000260872;ENSG00000260872
ENSG00000280588;ENSG00000280588
ENSG00000271721;ENSG00000271721
ENSG00000280643;ENSG00000280643
ENSG00000281570;ENSG00000281570
ENSG00000231363;ENSG00000231363
ENSG00000280816;ENSG00000280816
ENSG00000275727;ENSG00000275727
ENSG00000221070;ENSG00000221070
ENSG00000213971;ENSG00000213971
ENSG00000264918;ENSG00000264918
ENSG00000276381;ENSG00000276381
ENSG00000278597;ENSG00000278597
ENSG00000252146;ENSG00000252146
ENSG00000215996;ENSG00000215996
ENSG00000219448;ENSG00000219448
ENSG00000264288;ENSG00000264288
ENSG00000264284;ENSG00000264284
ENSG00000222235;ENSG00000222235
ENSG00000275104;ENSG00000275104
ENSG00000221799;ENSG00000221799
ENSG00000271745;ENSG00000271745
ENSG00000275686;ENSG00000275686
ENSG00000275684;ENSG00000275684
ENSG00000275685;ENSG00000275685
ENSG00000269948;ENSG00000269948
ENSG00000278136;ENSG00000278136
ENSG00000280615;ENSG00000280615
ENSG00000278512;ENSG00000278512
ENSG00000225261;ENSG00000225261
ENSG00000268549;ENSG00000268549
ENSG00000279893;ENSG00000279893
ENSG00000231709;ENSG00000231709
ENSG00000278354;ENSG00000278354
ENSG00000275258;ENSG00000275258
ENSG00000264641;ENSG00000264641
ENSG00000264642;ENSG00000264642
ENSG00000264510;ENSG00000264510
ENSG00000281866;ENSG00000281866
ENSG00000276694;ENSG00000276694
ENSG00000277021;ENSG00000277021
ENSG00000254142;ENSG00000254142
ENSG00000265621;ENSG00000265621
ENSG00000263504;ENSG00000263504
ENSG00000264991;ENSG00000264991
ENSG00000211499;ENSG00000211499
ENSG00000215976;ENSG00000215976
ENSG00000215972;ENSG00000215972
ENSG00000155640;ENSG00000155640
ENSG00000276024;ENSG00000276024
ENSG00000280111;ENSG00000280111
ENSG00000264724;ENSG00000264724
ENSG00000274277;ENSG00000274277
ENSG00000233501;ENSG00000233501
ENSG00000238976;ENSG00000238976
ENSG00000221247;ENSG00000221247
ENSG00000221246;ENSG00000221246
ENSG00000228389;ENSG00000228389
ENSG00000254640;ENSG00000254640
ENSG00000264953;ENSG00000264953
ENSG00000214733;ENSG00000214733
ENSG00000275100;ENSG00000275100
ENSG00000222586;ENSG00000222586
ENSG00000272659;ENSG00000272659
ENSG00000265042;ENSG00000265042
ENSG00000254967;ENSG00000254967
ENSG00000265324;ENSG00000265324
ENSG00000211562;ENSG00000211562
ENSG00000279252;ENSG00000279252
ENSG00000266543;ENSG00000266543
ENSG00000266547;ENSG00000266547
ENSG00000266355;ENSG00000266355
ENSG00000265461;ENSG00000265461
ENSG00000261550;ENSG00000261550
ENSG00000263827;ENSG00000263827
ENSG00000280950;ENSG00000280950
ENSG00000280954;ENSG00000280954
ENSG00000255322;ENSG00000255322
ENSG00000274555;ENSG00000274555
ENSG00000274550;ENSG00000274550
ENSG00000266671;ENSG00000266671
ENSG00000264899;ENSG00000264899
ENSG00000281070;ENSG00000281070
ENSG00000263985;ENSG00000263985
ENSG00000263980;ENSG00000263980
ENSG00000278185;ENSG00000278185
ENSG00000266912;ENSG00000266912
ENSG00000276305;ENSG00000276305
ENSG00000281685;ENSG00000281685
ENSG00000281684;ENSG00000281684
ENSG00000276236;ENSG00000276236
ENSG00000281681;ENSG00000281681
ENSG00000231865;ENSG00000231865
ENSG00000263475;ENSG00000263475
ENSG00000263470;ENSG00000263470
ENSG00000266429;ENSG00000266429
ENSG00000258882;ENSG00000258882
ENSG00000275849;ENSG00000275849
ENSG00000252817;ENSG00000252817
ENSG00000212101;ENSG00000212101
ENSG00000281551;ENSG00000281551
ENSG00000281600;ENSG00000281600
ENSG00000254761;ENSG00000254761
ENSG00000274366;ENSG00000274366
ENSG00000221087;ENSG00000221087
ENSG00000278350;ENSG00000278350
ENSG00000239373;ENSG00000239373
ENSG00000238604;ENSG00000238604
ENSG00000264135;ENSG00000264135
ENSG00000281443;ENSG00000281443
ENSG00000207491;ENSG00000207491
ENSG00000281445;ENSG00000281445
ENSG00000264671;ENSG00000264671
ENSG00000281444;ENSG00000281444
ENSG00000281350;ENSG00000281350
ENSG00000207895;ENSG00000207895
ENSG00000224956;ENSG00000224956
ENSG00000221473;ENSG00000221473
ENSG00000259264;ENSG00000259264
ENSG00000221299;ENSG00000221299
ENSG00000221297;ENSG00000221297
ENSG00000266621;ENSG00000266621
ENSG00000239160;ENSG00000239160
ENSG00000276108;ENSG00000276108
ENSG00000232372;ENSG00000232372
ENSG00000276924;ENSG00000276924
ENSG00000280605;ENSG00000280605
ENSG00000278509;ENSG00000278509
ENSG00000280567;ENSG00000280567
ENSG00000239353;ENSG00000239353
ENSG00000266044;ENSG00000266044
ENSG00000266047;ENSG00000266047
ENSG00000281488;ENSG00000281488
ENSG00000280747;ENSG00000280747
ENSG00000280746;ENSG00000280746
ENSG00000263473;ENSG00000263473
ENSG00000221344;ENSG00000221344
ENSG00000265679;ENSG00000265679
ENSG00000274426;ENSG00000274426
ENSG00000263539;ENSG00000263539
ENSG00000280458;ENSG00000280458
ENSG00000266239;ENSG00000266239
ENSG00000215946;ENSG00000215946
ENSG00000277201;ENSG00000277201
ENSG00000281201;ENSG00000281201
ENSG00000281108;ENSG00000281108
ENSG00000272511;ENSG00000272511
ENSG00000264062;ENSG00000264062
ENSG00000227116;ENSG00000227116
ENSG00000266269;ENSG00000266269
ENSG00000222894;ENSG00000222894
ENSG00000275149;ENSG00000275149
ENSG00000280391;ENSG00000280391
ENSG00000280644;ENSG00000280644
ENSG00000265736;ENSG00000265736
ENSG00000249911;ENSG00000249911
ENSG00000278820;ENSG00000278820
ENSG00000266825;ENSG00000266825
ENSG00000229729;ENSG00000229729
ENSG00000221535;ENSG00000221535
ENSG00000265216;ENSG00000265216
ENSG00000265212;ENSG00000265212
ENSG00000221392;ENSG00000221392
ENSG00000263759;ENSG00000263759
ENSG00000263365;ENSG00000263365
ENSG00000276621;ENSG00000276621
ENSG00000258838;ENSG00000258838
ENSG00000269227;ENSG00000269227
ENSG00000264855;ENSG00000264855
ENSG00000273774;ENSG00000273774
ENSG00000265087;ENSG00000265087
ENSG00000264134;ENSG00000264134
ENSG00000236198;ENSG00000236198
ENSG00000280834;ENSG00000280834
